name,region,pos,games,wins,loses,winrate,kda,kills,deaths,assists,firstbloodpercentage,firstturretpercentage,dmgpm,goldpm,cspm,wards,team,first_blood_percentage,first_turret_percentage,position,win_rate
Impact,LCS,Top,14,12,2,85.7,3.94,3.71,2.43,5.86,21.4,14.3,564.9,387.5,6.29,10.6,Team Liquid,,,,
CoreJJ,LCS,Support,14,12,2,85.7,5.86,0.71,2.07,11.43,7.1,0,206.1,267,0.71,51.3,Team Liquid,,,,
UmTi,LCS,Jungle,14,12,2,85.7,7.87,1.43,1.64,11.5,0,0,443,348.9,5.43,15.8,Team Liquid,,,,
Yeon,LCS,AD Carry,14,12,2,85.7,8.42,5.5,1.36,5.93,0,7.1,885.2,483.6,9.43,12.4,Team Liquid,,,,
APA,LCS,Mid,14,12,2,85.7,4.91,6.07,2.29,5.14,28.6,42.9,944.9,505.2,9.21,15.3,Team Liquid,,,,
Bvoy,LCS,AD Carry,16,4,12,85.7,3.72,3.56,2,3.88,18.8,0,539.1,404.4,8.5,17.7,Shopify Rebellion,,,,
Bugi,LCS,Jungle,10,4,6,85.7,5,4.3,2.7,9.2,30,0,680,384.7,6.4,23.4,Shopify Rebellion,,,,
Zeyzal,LCS,Support,16,4,12,25,2.23,0.81,3.81,7.69,6.3,0,177.6,235.1,0.5,54.9,Shopify Rebellion,,,,
FakeGod,LCS,Top,16,4,12,25,2.62,1.94,2.44,4.44,0,0,439.9,347.4,6.81,12.4,Shopify Rebellion,,,,
Insanity,LCS,Mid,16,4,12,25,3.06,3,2.19,3.69,12.5,18.8,609.5,420.4,8.75,15.6,Shopify Rebellion,,,,
Tomio,LCS,Jungle,6,0,6,0,1.13,0.33,2.67,2.76,0,16.7,364.8,305.8,5.83,7.2,Shopify Rebellion,,,,
Contractz,LCS,Jungle,15,5,10,33.3,2.43,2.53,3.53,6.07,26.7,0,537.3,337.9,5.8,9.3,NRG,,,,
huhi,LCS,Support,15,5,10,33.3,2.02,0.8,4.07,7.4,6.7,6.7,192.1,248.7,1.53,63,NRG,,,,
Dhokla,LCS,Top,15,5,10,33.3,1.7,2.53,3.33,3.13,6.7,6.7,505.9,376,7.27,10.7,NRG,,,,
